symbol,year,adjusted,cpi,ppi,annual.dividend
ZBH,2016,2.196747000000002,4.884999999999991,5.599999999999994,0.96
ZBH,2017,17.788437000000002,4.1299999999999955,5.600000000000023,0.96
ZBH,2018,-19.049492,3.836999999999989,3.0999999999999943,0.96
ZBH,2019,47.928428999999994,5.8940000000000055,-0.09999999999999432,0.96
ZBH,2020,-13.380402000000004,-1.6059999999999945,-8.200000000000017,0.48
ZION,2015,-0.7119160000000022,3.0139999999999816,-8.5,0.22
ZION,2016,15.383413999999998,4.884999999999991,5.599999999999994,0.28
ZION,2017,7.562843000000001,4.1299999999999955,5.600000000000023,0.44
ZION,2018,-8.563963999999999,3.836999999999989,3.0999999999999943,1.04
ZION,2019,11.254761000000002,5.8940000000000055,-0.09999999999999432,1.28
ZION,2020,-18.90242,-1.6059999999999945,-8.200000000000017,0.68
ZTS,2015,4.7670829999999995,3.0139999999999816,-8.5,0.332
ZTS,2016,6.495818999999997,4.884999999999991,5.599999999999994,0.38
ZTS,2017,18.520743999999993,4.1299999999999955,5.600000000000023,0.42
ZTS,2018,14.042564000000013,3.836999999999989,3.0999999999999943,0.504
ZTS,2019,48.189468000000005,5.8940000000000055,-0.09999999999999432,0.656
ZTS,2020,11.11717299999998,-1.6059999999999945,-8.200000000000017,0.6000000000000001
